"industry";"gk1";"softvar";"rule";"name"
"620";"4";"S73";"if (S73 == 0) Echt.Arbeidskosten >= 0.83 * Echt.Lonen + -11.72";"S73_1"
"620";"4";"S73";"if (S73 == 0) Echt.Arbeidskosten <= 1.63 * Echt.Lonen + 36.29";"S73_2"
"620";"4";"S74";"if (S74 == 0) Echt.Lonen >= 0.53 * Echt.Arbeidskosten + -18.41";"S74_1"
"620";"4";"S74";"if (S74 == 0) Echt.Lonen <= 1.08 * Echt.Arbeidskosten + 18.32";"S74_2"
"620";"4";"S75";"if (S75 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.97 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -7.08";"S75_1"
"620";"4";"S75";"if (S75 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.03 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 7.12";"S75_2"
"620";"4";"S76";"if (S76 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.55 * Echt.Productie_SFO + -312.21";"S76_1"
"620";"4";"S76";"if (S76 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.39 * Echt.Productie_SFO + 299.87";"S76_2"
"620";"4";"S77";"if (S77 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.97 * Echt.Netto_Omzet_minus_accijnzen + -6.19";"S77_1"
"620";"4";"S77";"if (S77 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Netto_Omzet_minus_accijnzen + 6.24";"S77_2"
"620";"4";"S78";"if (S78 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.55 * Echt.Productie_SFO + -311.57";"S78_1"
