"name";"rule"
"Sociale_lasten_bp";"WIA.Sociale_lasten <= 1.05 * Echt.Sociale_lasten + 50"
"Pensioenlasten_bp";"WIA.Pensioenlasten <= 1.05 * Echt.Pensioenlasten + 50"
"Overige_personeelskosten_bp";"WIA.Overige_personeelskosten <= 1.05 * Echt.Overige_personeelskosten + 50"
"Inkoopwaarde_Omzet_bp";"WIA.Inkoopwaarde_Omzet <= 1.05 * Echt.Inkoopwaarde_Omzet + 50"
"Uitbesteed_werk_bp";"WIA.Uitbesteed_werk <= 1.05 * Echt.Uitbesteed_werk + 50"
"Inkoopwaarde_Omzet_excl_uitbesteed_bp";"WIA.Inkoopwaarde_Omzet_excl_uitbesteed <= 1.05 * Echt.Inkoopwaarde_Omzet_excl_uitbesteed + 50"
"Marge_omzet_bp";"WIA.Marge_omzet <= 1.05 * Echt.Marge_omzet + 50"
"Investeringen_materiele_vaste_activa_INIVA_WIA_bp";"WIA.Investeringen_materiele_vaste_activa_INIVA_WIA <= 1.05 * Echt.Investeringen_materiele_vaste_activa_INIVA_WIA + 50"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_bp";"WIA.Investeringen_immateriele_vaste_activa_INIVA_WIA <= 1.05 * Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA + 50"
"Investeringen_materiele_vaste_activa_INIVA_WIA_bp";"INIVA.Investeringen_materiele_vaste_activa_INIVA_WIA <= 1.05 * Echt.Investeringen_materiele_vaste_activa_INIVA_WIA + 50"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_bp";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_WIA <= 1.05 * Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA + 50"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_bp";"INIVA.Investeringen_materiele_vaste_activa_INIVA_SFGO <= 1.05 * Echt.Investeringen_materiele_vaste_activa_INIVA_SFGO + 50"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_bp";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_SFGO <= 1.05 * Echt.Investeringen_immateriele_vaste_activa_INIVA_SFGO + 50"
"Investeringen_op_lease_INIVA_SFGO_bp";"INIVA.Investeringen_op_lease_INIVA_SFGO <= 1.05 * Echt.Investeringen_op_lease_INIVA_SFGO + 50"
"Reversals_Impairments_bp";"if (Echt.Reversals_Impairments >= 0) PS.Reversals_Impairments <= 1.05 * Echt.Reversals_Impairments + 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_bp";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0) PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA <= 1.05 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA + 50"
"Saldo_Uitzonderlijke_Baten_Lasten_bp";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten >= 0) PS.Saldo_Uitzonderlijke_Baten_Lasten <= 1.05 * Echt.Saldo_Uitzonderlijke_Baten_Lasten + 50"
"Exploitatie_Overschot_bp";"if (Echt.Exploitatie_Overschot >= 0) PS.Exploitatie_Overschot <= 1.05 * Echt.Exploitatie_Overschot + 50"
"EBITDA_bp";"if (Echt.EBITDA >= 0) PS.EBITDA <= 1.05 * Echt.EBITDA + 50"
"Financieel_Resultaat_Op_Lease_bp";"if (Echt.Financieel_Resultaat_Op_Lease >= 0) PS.Financieel_Resultaat_Op_Lease <= 1.05 * Echt.Financieel_Resultaat_Op_Lease + 50"
"Reversals_Impairments_bp";"if (Echt.Reversals_Impairments >= 0) SFGO.Reversals_Impairments <= 1.05 * Echt.Reversals_Impairments + 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_bp";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0) SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA <= 1.05 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA + 50"
"Saldo_Uitzonderlijke_Baten_Lasten_bp";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten >= 0) SFGO.Saldo_Uitzonderlijke_Baten_Lasten <= 1.05 * Echt.Saldo_Uitzonderlijke_Baten_Lasten + 50"
"Exploitatie_Overschot_bp";"if (Echt.Exploitatie_Overschot >= 0) SFGO.Exploitatie_Overschot <= 1.05 * Echt.Exploitatie_Overschot + 50"
"EBITDA_bp";"if (Echt.EBITDA >= 0) SFGO.EBITDA <= 1.05 * Echt.EBITDA + 50"
"Financieel_Resultaat_Op_Lease_bp";"if (Echt.Financieel_Resultaat_Op_Lease >= 0) SFGO.Financieel_Resultaat_Op_Lease <= 1.05 * Echt.Financieel_Resultaat_Op_Lease + 50"
"Reversals_Impairments_bn";"if (Echt.Reversals_Impairments < 0) PS.Reversals_Impairments >= 1.05 * Echt.Reversals_Impairments - 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_bn";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA < 0) PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 1.05 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA - 50"
"Saldo_Uitzonderlijke_Baten_Lasten_bn";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten < 0) PS.Saldo_Uitzonderlijke_Baten_Lasten >= 1.05 * Echt.Saldo_Uitzonderlijke_Baten_Lasten - 50"
"Exploitatie_Overschot_bn";"if (Echt.Exploitatie_Overschot < 0) PS.Exploitatie_Overschot >= 1.05 * Echt.Exploitatie_Overschot - 50"
"EBITDA_bn";"if (Echt.EBITDA < 0) PS.EBITDA >= 1.05 * Echt.EBITDA - 50"
